Partido candidato de la coalición,U Distrito,Estado,Cabecera.Distrital,Media,DesvEst,Menor,Mayor,PROBABILIDAD DE GANAR
ES,E11D2,GUANAJUATO,SAN MIGUEL DE ALLENDE,2.57%,0.0240,0.00%,7.28%,0.00%
MC,E11D2,GUANAJUATO,SAN MIGUEL DE ALLENDE,4.18%,0.0150,1.71%,7.13%,0.00%
MORENA,E11D2,GUANAJUATO,SAN MIGUEL DE ALLENDE,25.51%,0.0061,24.52%,26.70%,57.03%
PAN,E11D2,GUANAJUATO,SAN MIGUEL DE ALLENDE,32.72%,0.0870,18.41%,49.78%,39.26%
PRD,E11D2,GUANAJUATO,SAN MIGUEL DE ALLENDE,2.88%,0.0167,0.00%,6.15%,0.00%
PRI,E11D2,GUANAJUATO,SAN MIGUEL DE ALLENDE,11.92%,0.1037,0.00%,32.23%,3.71%
PT,E11D2,GUANAJUATO,SAN MIGUEL DE ALLENDE,2.98%,0.0051,2.14%,3.99%,0.00%
PVEM,E11D2,GUANAJUATO,SAN MIGUEL DE ALLENDE,9.00%,0.0387,2.63%,16.58%,0.00%
RSP,E11D2,GUANAJUATO,SAN MIGUEL DE ALLENDE,4.58%,0.0195,1.38%,8.41%,0.00%
ES,E11D3,GUANAJUATO,LEON,3.65%,0.0315,0.00%,9.83%,0.00%
MC,E11D3,GUANAJUATO,LEON,1.40%,0.0229,0.00%,5.89%,0.00%
MORENA,E11D3,GUANAJUATO,LEON,16.91%,0.0071,15.74%,18.31%,0.00%
PAN,E11D3,GUANAJUATO,LEON,53.25%,0.1521,28.23%,83.06%,86.37%
PRD,E11D3,GUANAJUATO,LEON,0.00%,0.0220,0.00%,4.30%,0.00%
PRI,E11D3,GUANAJUATO,LEON,16.84%,0.1762,0.00%,51.38%,13.62%
PT,E11D3,GUANAJUATO,LEON,1.57%,0.0075,0.33%,3.03%,0.00%
PVEM,E11D3,GUANAJUATO,LEON,8.78%,0.0571,0.00%,19.98%,0.01%
RSP,E11D3,GUANAJUATO,LEON,1.53%,0.0282,0.00%,7.06%,0.00%
ES,E11D4,GUANAJUATO,GUANAJUATO,3.27%,0.0452,0.00%,12.13%,0.00%
MC,E11D4,GUANAJUATO,GUANAJUATO,4.11%,0.0202,0.79%,8.08%,0.00%
MORENA,E11D4,GUANAJUATO,GUANAJUATO,19.54%,0.0033,19.00%,20.18%,0.00%
PAN,E11D4,GUANAJUATO,GUANAJUATO,37.96%,0.0918,22.86%,55.96%,78.62%
PRD,E11D4,GUANAJUATO,GUANAJUATO,1.30%,0.0181,0.00%,4.84%,0.00%
PRI,E11D4,GUANAJUATO,GUANAJUATO,19.49%,0.1339,0.00%,45.72%,19.71%
PT,E11D4,GUANAJUATO,GUANAJUATO,1.74%,0.0035,1.17%,2.42%,0.00%
PVEM,E11D4,GUANAJUATO,GUANAJUATO,11.41%,0.0692,0.00%,24.97%,1.67%
RSP,E11D4,GUANAJUATO,GUANAJUATO,4.22%,0.0228,0.00%,8.68%,0.00%
ES,E11D5,GUANAJUATO,LEON,3.28%,0.0332,0.00%,9.80%,0.00%
MC,E11D5,GUANAJUATO,LEON,1.17%,0.0227,0.00%,5.62%,0.00%
MORENA,E11D5,GUANAJUATO,LEON,18.19%,0.0067,17.09%,19.51%,0.00%
PAN,E11D5,GUANAJUATO,LEON,53.60%,0.1602,27.25%,85.00%,84.90%
PRD,E11D5,GUANAJUATO,LEON,0.00%,0.0217,0.00%,4.25%,0.00%
PRI,E11D5,GUANAJUATO,LEON,16.82%,0.1853,0.00%,53.14%,15.10%
PT,E11D5,GUANAJUATO,LEON,0.99%,0.0057,0.00%,2.10%,0.00%
PVEM,E11D5,GUANAJUATO,LEON,7.72%,0.0479,0.00%,17.10%,0.00%
RSP,E11D5,GUANAJUATO,LEON,1.31%,0.0260,0.00%,6.41%,0.00%
ES,E11D6,GUANAJUATO,LEON,2.61%,0.0308,0.00%,8.66%,0.00%
MC,E11D6,GUANAJUATO,LEON,1.23%,0.0219,0.00%,5.52%,0.00%
MORENA,E11D6,GUANAJUATO,LEON,18.36%,0.0093,16.83%,20.19%,0.00%
PAN,E11D6,GUANAJUATO,LEON,49.46%,0.1650,22.32%,81.80%,77.09%
PRD,E11D6,GUANAJUATO,LEON,0.00%,0.0204,0.00%,4.00%,0.00%
PRI,E11D6,GUANAJUATO,LEON,19.25%,0.1871,0.00%,55.93%,22.75%
PT,E11D6,GUANAJUATO,LEON,1.26%,0.0046,0.51%,2.16%,0.00%
PVEM,E11D6,GUANAJUATO,LEON,8.68%,0.0523,0.00%,18.94%,0.16%
RSP,E11D6,GUANAJUATO,LEON,1.64%,0.0274,0.00%,7.01%,0.00%
ES,E11D7,GUANAJUATO,SAN FRANCISCO DEL RINCON,2.06%,0.0436,0.00%,10.60%,0.00%
MC,E11D7,GUANAJUATO,SAN FRANCISCO DEL RINCON,2.18%,0.0215,0.00%,6.39%,0.00%
MORENA,E11D7,GUANAJUATO,SAN FRANCISCO DEL RINCON,19.85%,0.0073,18.65%,21.27%,0.00%
PAN,E11D7,GUANAJUATO,SAN FRANCISCO DEL RINCON,39.55%,0.0988,23.29%,58.93%,80.03%
PRD,E11D7,GUANAJUATO,SAN FRANCISCO DEL RINCON,0.43%,0.0175,0.00%,3.86%,0.00%
PRI,E11D7,GUANAJUATO,SAN FRANCISCO DEL RINCON,19.19%,0.1282,0.00%,44.31%,18.71%
PT,E11D7,GUANAJUATO,SAN FRANCISCO DEL RINCON,1.58%,0.0038,0.95%,2.33%,0.00%
PVEM,E11D7,GUANAJUATO,SAN FRANCISCO DEL RINCON,11.26%,0.0671,0.00%,24.41%,1.25%
RSP,E11D7,GUANAJUATO,SAN FRANCISCO DEL RINCON,3.59%,0.0296,0.00%,9.38%,0.00%
ES,E11D8,GUANAJUATO,SALAMANCA,2.59%,0.0266,0.00%,7.80%,0.00%
MC,E11D8,GUANAJUATO,SALAMANCA,4.10%,0.0088,2.65%,5.83%,0.00%
MORENA,E11D8,GUANAJUATO,SALAMANCA,28.86%,0.0047,28.09%,29.77%,53.22%
PAN,E11D8,GUANAJUATO,SALAMANCA,43.74%,0.1282,22.65%,68.87%,46.77%
PT,E11D8,GUANAJUATO,SALAMANCA,3.16%,0.0038,2.53%,3.90%,0.00%
PVEM,E11D8,GUANAJUATO,SALAMANCA,11.67%,0.0447,4.32%,20.42%,0.00%
RSP,E11D8,GUANAJUATO,SALAMANCA,6.41%,0.0239,2.48%,11.10%,0.00%
ES,E11D9,GUANAJUATO,IRAPUATO,2.02%,0.0400,0.00%,9.87%,0.00%
MC,E11D9,GUANAJUATO,IRAPUATO,1.67%,0.0172,0.00%,5.04%,0.00%
MORENA,E11D9,GUANAJUATO,IRAPUATO,24.21%,0.0101,22.56%,26.18%,23.01%
PAN,E11D9,GUANAJUATO,IRAPUATO,37.29%,0.0821,23.80%,53.38%,65.11%
PRD,E11D9,GUANAJUATO,IRAPUATO,0.00%,0.0140,0.00%,2.75%,0.00%
PRI,E11D9,GUANAJUATO,IRAPUATO,20.79%,0.1232,0.00%,44.93%,11.32%
PT,E11D9,GUANAJUATO,IRAPUATO,1.41%,0.0035,0.84%,2.09%,0.00%
PVEM,E11D9,GUANAJUATO,IRAPUATO,9.42%,0.0740,0.00%,23.93%,0.56%
RSP,E11D9,GUANAJUATO,IRAPUATO,2.30%,0.0200,0.00%,6.22%,0.00%
ES,E12D1,GUERRERO,CD. ALTAMIRANO,0.67%,0.0405,0.00%,8.60%,0.00%
MC,E12D1,GUERRERO,CD. ALTAMIRANO,10.37%,0.0675,0.00%,23.60%,0.01%
MORENA,E12D1,GUERRERO,CD. ALTAMIRANO,48.28%,0.0894,33.58%,65.80%,68.19%
PRI,E12D1,GUERRERO,CD. ALTAMIRANO,37.06%,0.1312,15.47%,62.78%,31.80%
RSP,E12D1,GUERRERO,CD. ALTAMIRANO,5.14%,0.0522,0.00%,15.38%,0.00%
ES,E12D2,GUERRERO,IGUALA,2.86%,0.0411,0.00%,10.91%,0.00%
MC,E12D2,GUERRERO,IGUALA,5.48%,0.0117,3.56%,7.78%,0.00%
MORENA,E12D2,GUERRERO,IGUALA,37.22%,0.0186,34.16%,40.86%,99.96%
PAN,E12D2,GUERRERO,IGUALA,9.78%,0.0429,2.73%,18.19%,0.00%
PRD,E12D2,GUERRERO,IGUALA,8.64%,0.0236,4.77%,13.26%,0.00%
PRI,E12D2,GUERRERO,IGUALA,13.76%,0.0635,3.31%,26.20%,0.03%
PT,E12D2,GUERRERO,IGUALA,4.36%,0.0074,3.15%,5.81%,0.00%
PVEM,E12D2,GUERRERO,IGUALA,8.68%,0.0651,0.00%,21.44%,0.00%
RSP,E12D2,GUERRERO,IGUALA,4.59%,0.0150,2.13%,7.52%,0.00%
ES,E12D3,GUERRERO,ZIHUATANEJO,0.62%,0.0291,0.00%,6.32%,0.00%
MC,E12D3,GUERRERO,ZIHUATANEJO,8.43%,0.0539,0.00%,18.99%,0.00%
PRD,E12D3,GUERRERO,ZIHUATANEJO,31.75%,0.1227,11.57%,55.81%,16.42%
PVEM,E12D3,GUERRERO,ZIHUATANEJO,52.15%,0.0874,37.77%,69.28%,83.58%
RSP,E12D3,GUERRERO,ZIHUATANEJO,4.47%,0.0486,0.00%,13.99%,0.00%
ES,E12D4,GUERRERO,ACAPULCO,2.49%,0.0328,0.00%,8.92%,0.00%
MC,E12D4,GUERRERO,ACAPULCO,8.06%,0.0216,4.50%,12.30%,0.00%
MORENA,E12D4,GUERRERO,ACAPULCO,48.34%,0.0099,46.72%,50.28%,99.79%
PRD,E12D4,GUERRERO,ACAPULCO,23.61%,0.0869,9.32%,40.64%,0.21%
PT,E12D4,GUERRERO,ACAPULCO,4.08%,0.0073,2.88%,5.52%,0.00%
PVEM,E12D4,GUERRERO,ACAPULCO,5.70%,0.0554,0.00%,16.55%,0.00%
RSP,E12D4,GUERRERO,ACAPULCO,1.79%,0.0209,0.00%,5.89%,0.00%
ES,E12D5,GUERRERO,TLAPA,2.57%,0.0373,0.00%,9.88%,0.00%
MC,E12D5,GUERRERO,TLAPA,6.91%,0.0296,2.04%,12.72%,0.00%
PRD,E12D5,GUERRERO,TLAPA,27.21%,0.1109,8.96%,48.94%,2.32%
PT,E12D5,GUERRERO,TLAPA,58.57%,0.0758,46.11%,73.42%,97.68%
RSP,E12D5,GUERRERO,TLAPA,2.43%,0.0284,0.00%,7.99%,0.00%
ES,E12D6,GUERRERO,CHILAPA,1.75%,0.0315,0.00%,7.92%,0.00%
MC,E12D6,GUERRERO,CHILAPA,9.23%,0.0390,2.82%,16.88%,0.00%
MORENA,E12D6,GUERRERO,CHILAPA,45.80%,0.0884,31.25%,63.12%,64.98%
PRD,E12D6,GUERRERO,CHILAPA,36.66%,0.1266,15.83%,61.48%,35.02%
RSP,E12D6,GUERRERO,CHILAPA,4.56%,0.0439,0.00%,13.17%,0.00%
ES,E12D7,GUERRERO,CHILPANCINGO,2.39%,0.0432,0.00%,10.85%,0.00%
MC,E12D7,GUERRERO,CHILPANCINGO,6.63%,0.0144,4.26%,9.46%,0.00%
MORENA,E12D7,GUERRERO,CHILPANCINGO,40.73%,0.0121,38.73%,43.11%,93.87%
PRI,E12D7,GUERRERO,CHILPANCINGO,26.24%,0.1047,9.02%,46.77%,6.13%
PT,E12D7,GUERRERO,CHILPANCINGO,4.92%,0.0068,3.79%,6.26%,0.00%
PVEM,E12D7,GUERRERO,CHILPANCINGO,10.23%,0.0751,0.00%,24.94%,0.00%
RSP,E12D7,GUERRERO,CHILPANCINGO,4.61%,0.0246,0.00%,9.42%,0.00%
ES,E12D8,GUERRERO,AYUTLA DE LOS LIBRES,2.04%,0.0332,0.00%,8.54%,0.00%
MC,E12D8,GUERRERO,AYUTLA DE LOS LIBRES,8.10%,0.0211,4.62%,12.24%,0.00%
MORENA,E12D8,GUERRERO,AYUTLA DE LOS LIBRES,52.61%,0.0564,43.33%,63.66%,96.79%
PRI,E12D8,GUERRERO,AYUTLA DE LOS LIBRES,31.06%,0.0794,18.01%,46.62%,3.21%
RSP,E12D8,GUERRERO,AYUTLA DE LOS LIBRES,5.69%,0.0400,0.00%,13.54%,0.00%
ES,E12D9,GUERRERO,ACAPULCO,4.55%,0.0391,0.00%,12.22%,0.00%
MC,E12D9,GUERRERO,ACAPULCO,4.91%,0.0156,2.35%,7.96%,0.00%
MORENA,E12D9,GUERRERO,ACAPULCO,44.39%,0.0122,42.39%,46.79%,97.83%
PRI,E12D9,GUERRERO,ACAPULCO,25.03%,0.1000,8.59%,44.62%,2.17%
PT,E12D9,GUERRERO,ACAPULCO,4.33%,0.0088,2.89%,6.05%,0.00%
PVEM,E12D9,GUERRERO,ACAPULCO,8.49%,0.0679,0.00%,21.79%,0.00%
RSP,E12D9,GUERRERO,ACAPULCO,2.62%,0.0228,0.00%,7.09%,0.00%
ES,E13D1,HIDALGO,HUEJUTLA DE REYES,12.25%,0.0434,5.11%,20.76%,0.00%
MC,E13D1,HIDALGO,HUEJUTLA DE REYES,2.86%,0.0170,0.00%,6.19%,0.00%
MORENA,E13D1,HIDALGO,HUEJUTLA DE REYES,46.50%,0.0829,32.87%,62.74%,81.93%
PRI,E13D1,HIDALGO,HUEJUTLA DE REYES,28.58%,0.1064,11.08%,49.43%,18.07%
RSP,E13D1,HIDALGO,HUEJUTLA DE REYES,4.58%,0.0131,2.43%,7.14%,0.00%
ES,E13D2,HIDALGO,IXMIQUILPAN,4.18%,0.0410,0.00%,12.22%,0.00%
MC,E13D2,HIDALGO,IXMIQUILPAN,2.77%,0.0136,0.53%,5.44%,0.00%
PAN,E13D2,HIDALGO,IXMIQUILPAN,29.32%,0.0938,13.90%,47.70%,2.96%
PVEM,E13D2,HIDALGO,IXMIQUILPAN,55.96%,0.0715,44.20%,69.97%,97.04%
RSP,E13D2,HIDALGO,IXMIQUILPAN,4.20%,0.0065,3.12%,5.48%,0.00%
ES,E13D3,HIDALGO,ACTOPAN,5.79%,0.0454,0.00%,14.70%,0.00%
MC,E13D3,HIDALGO,ACTOPAN,2.68%,0.0094,1.14%,4.52%,0.00%
MORENA,E13D3,HIDALGO,ACTOPAN,45.85%,0.0168,43.08%,49.15%,97.81%
PRD,E13D3,HIDALGO,ACTOPAN,24.42%,0.1077,6.71%,45.52%,2.19%
PT,E13D3,HIDALGO,ACTOPAN,4.46%,0.0103,2.76%,6.49%,0.00%
PVEM,E13D3,HIDALGO,ACTOPAN,9.82%,0.0803,0.00%,25.55%,0.00%
RSP,E13D3,HIDALGO,ACTOPAN,9.31%,0.0081,7.99%,10.90%,0.00%
ES,E13D4,HIDALGO,TULANCINGO DE BRAVO,4.97%,0.0376,0.00%,12.34%,0.00%
MC,E13D4,HIDALGO,TULANCINGO DE BRAVO,3.78%,0.0195,0.00%,7.60%,0.00%
MORENA,E13D4,HIDALGO,TULANCINGO DE BRAVO,59.00%,0.0656,48.22%,71.85%,99.93%
PAN,E13D4,HIDALGO,TULANCINGO DE BRAVO,23.93%,0.0807,10.66%,39.75%,0.07%
RSP,E13D4,HIDALGO,TULANCINGO DE BRAVO,5.84%,0.0121,3.84%,8.21%,0.00%
ES,E13D5,HIDALGO,TULA DE ALLENDE,4.26%,0.0356,0.00%,11.23%,0.00%
MC,E13D5,HIDALGO,TULA DE ALLENDE,3.44%,0.0185,0.00%,7.06%,0.00%
MORENA,E13D5,HIDALGO,TULA DE ALLENDE,58.99%,0.0613,48.91%,71.01%,99.97%
PRD,E13D5,HIDALGO,TULA DE ALLENDE,26.14%,0.0702,14.59%,39.91%,0.03%
RSP,E13D5,HIDALGO,TULA DE ALLENDE,4.06%,0.0131,1.90%,6.63%,0.00%
ES,E13D6,HIDALGO,PACHUCA DE SOTO,5.38%,0.0427,0.00%,13.76%,0.00%
MC,E13D6,HIDALGO,PACHUCA DE SOTO,3.01%,0.0167,0.00%,6.29%,0.00%
MORENA,E13D6,HIDALGO,PACHUCA DE SOTO,55.45%,0.0700,43.94%,69.16%,99.55%
PRI,E13D6,HIDALGO,PACHUCA DE SOTO,25.81%,0.0759,13.32%,40.69%,0.45%
RSP,E13D6,HIDALGO,PACHUCA DE SOTO,4.22%,0.0182,1.22%,7.78%,0.00%
ES,E13D7,HIDALGO,TEPEAPULCO,3.67%,0.0300,0.00%,9.56%,0.00%
MC,E13D7,HIDALGO,TEPEAPULCO,1.78%,0.0180,0.00%,5.30%,0.00%
MORENA,E13D7,HIDALGO,TEPEAPULCO,42.93%,0.0135,40.71%,45.58%,99.54%
PRI,E13D7,HIDALGO,TEPEAPULCO,24.00%,0.0702,12.45%,37.77%,0.46%
PT,E13D7,HIDALGO,TEPEAPULCO,3.15%,0.0066,2.06%,4.45%,0.00%
PVEM,E13D7,HIDALGO,TEPEAPULCO,9.85%,0.0577,0.00%,21.17%,0.00%
RSP,E13D7,HIDALGO,TEPEAPULCO,9.78%,0.0152,7.28%,12.77%,0.00%
ES,E14D1,JALISCO,TEQUILA,2.09%,0.0242,0.00%,6.82%,0.00%
MC,E14D1,JALISCO,TEQUILA,16.63%,0.0580,7.08%,28.00%,2.81%
MORENA,E14D1,JALISCO,TEQUILA,35.04%,0.0632,24.64%,47.43%,53.49%
PAN,E14D1,JALISCO,TEQUILA,35.69%,0.0882,21.18%,52.98%,43.70%
RSP,E14D1,JALISCO,TEQUILA,1.30%,0.0150,0.00%,4.23%,0.00%
ES,E14D10,JALISCO,ZAPOPAN,2.22%,0.0212,0.00%,6.37%,0.00%
MC,E14D10,JALISCO,ZAPOPAN,20.58%,0.0928,5.32%,38.77%,12.15%
MORENA,E14D10,JALISCO,ZAPOPAN,30.28%,0.0480,22.38%,39.69%,54.77%
PAN,E14D10,JALISCO,ZAPOPAN,40.98%,0.1390,18.13%,68.22%,33.08%
RSP,E14D10,JALISCO,ZAPOPAN,0.13%,0.0168,0.00%,3.42%,0.00%
ES,E14D11,JALISCO,GUADALAJARA,1.15%,0.0250,0.00%,6.05%,0.00%
MC,E14D11,JALISCO,GUADALAJARA,28.04%,0.1300,6.65%,53.52%,13.91%
MORENA,E14D11,JALISCO,GUADALAJARA,38.41%,0.0632,28.01%,50.79%,69.11%
PRI,E14D11,JALISCO,GUADALAJARA,30.76%,0.1457,6.79%,59.31%,16.99%
RSP,E14D11,JALISCO,GUADALAJARA,1.71%,0.0106,0.00%,3.78%,0.00%
ES,E14D12,JALISCO,SANTA CRUZ DE LAS FLORES,0.54%,0.0197,0.00%,4.40%,0.00%
MC,E14D12,JALISCO,SANTA CRUZ DE LAS FLORES,31.87%,0.1178,12.50%,54.96%,17.77%
MORENA,E14D12,JALISCO,SANTA CRUZ DE LAS FLORES,36.82%,0.0415,29.98%,44.96%,69.64%
PRD,E14D12,JALISCO,SANTA CRUZ DE LAS FLORES,28.17%,0.1251,7.59%,52.69%,12.59%
RSP,E14D12,JALISCO,SANTA CRUZ DE LAS FLORES,0.50%,0.0168,0.00%,3.79%,0.00%
ES,E14D13,JALISCO,TLAQUEPAQUE,1.34%,0.0250,0.00%,6.24%,0.00%
MC,E14D13,JALISCO,TLAQUEPAQUE,25.18%,0.1105,7.01%,46.83%,13.00%
MORENA,E14D13,JALISCO,TLAQUEPAQUE,36.60%,0.0627,26.28%,48.89%,62.76%
PAN,E14D13,JALISCO,TLAQUEPAQUE,33.51%,0.1207,13.67%,57.16%,24.24%
RSP,E14D13,JALISCO,TLAQUEPAQUE,0.00%,0.0179,0.00%,3.50%,0.00%
ES,E14D14,JALISCO,GUADALAJARA,1.92%,0.0237,0.00%,6.57%,0.00%
MC,E14D14,JALISCO,GUADALAJARA,28.48%,0.1303,7.04%,54.03%,13.44%
PRD,E14D14,JALISCO,GUADALAJARA,31.92%,0.1381,9.21%,58.98%,17.64%
PVEM,E14D14,JALISCO,GUADALAJARA,38.60%,0.0575,29.14%,49.87%,68.92%
RSP,E14D14,JALISCO,GUADALAJARA,0.67%,0.0120,0.00%,3.02%,0.00%
ES,E14D15,JALISCO,LA BARCA,3.29%,0.0264,0.00%,8.48%,0.00%
MC,E14D15,JALISCO,LA BARCA,13.80%,0.0479,5.92%,23.18%,0.28%
MORENA,E14D15,JALISCO,LA BARCA,37.52%,0.0741,25.34%,52.04%,56.97%
PAN,E14D15,JALISCO,LA BARCA,31.65%,0.0695,20.22%,45.26%,42.75%
RSP,E14D15,JALISCO,LA BARCA,1.89%,0.0202,0.00%,5.84%,0.00%
ES,E14D16,JALISCO,TLAQUEPAQUE,1.67%,0.0254,0.00%,6.66%,0.00%
MC,E14D16,JALISCO,TLAQUEPAQUE,21.88%,0.0736,9.78%,36.30%,4.46%
MORENA,E14D16,JALISCO,TLAQUEPAQUE,41.76%,0.0718,29.95%,55.83%,78.49%
PRD,E14D16,JALISCO,TLAQUEPAQUE,27.57%,0.0872,13.22%,44.67%,17.04%
RSP,E14D16,JALISCO,TLAQUEPAQUE,0.00%,0.0183,0.00%,3.58%,0.00%
ES,E14D17,JALISCO,JOCOTEPEC,2.25%,0.0273,0.00%,7.60%,0.00%
MC,E14D17,JALISCO,JOCOTEPEC,19.46%,0.0768,6.83%,34.51%,4.97%
MORENA,E14D17,JALISCO,JOCOTEPEC,37.90%,0.0643,27.33%,50.50%,66.00%
PRI,E14D17,JALISCO,JOCOTEPEC,30.69%,0.0892,16.01%,48.18%,29.03%
RSP,E14D17,JALISCO,JOCOTEPEC,0.72%,0.0208,0.00%,4.79%,0.00%
ES,E14D18,JALISCO,AUTLAN DE NAVARRO,0.00%,0.0312,0.00%,6.11%,0.00%
MC,E14D18,JALISCO,AUTLAN DE NAVARRO,16.10%,0.0759,3.62%,30.96%,5.25%
MORENA,E14D18,JALISCO,AUTLAN DE NAVARRO,36.46%,0.0784,23.56%,51.84%,56.17%
PRI,E14D18,JALISCO,AUTLAN DE NAVARRO,33.97%,0.1005,17.44%,53.67%,38.58%
RSP,E14D18,JALISCO,AUTLAN DE NAVARRO,2.09%,0.0126,0.00%,4.56%,0.00%
ES,E14D19,JALISCO,CIUDAD GUZMAN,0.91%,0.0216,0.00%,5.15%,0.00%
MC,E14D19,JALISCO,CIUDAD GUZMAN,17.63%,0.0716,5.85%,31.67%,2.38%
MORENA,E14D19,JALISCO,CIUDAD GUZMAN,40.73%,0.0762,28.19%,55.67%,65.83%
PRD,E14D19,JALISCO,CIUDAD GUZMAN,32.00%,0.0991,15.70%,51.42%,31.80%
RSP,E14D19,JALISCO,CIUDAD GUZMAN,3.24%,0.0134,1.04%,5.87%,0.00%
ES,E14D2,JALISCO,LAGOS DE MORENO,0.00%,0.0328,0.00%,6.43%,0.00%
MC,E14D2,JALISCO,LAGOS DE MORENO,14.15%,0.0706,2.53%,27.99%,1.33%
MORENA,E14D2,JALISCO,LAGOS DE MORENO,18.03%,0.0158,15.44%,21.12%,0.00%
PAN,E14D2,JALISCO,LAGOS DE MORENO,44.34%,0.1016,27.63%,64.25%,98.39%
PT,E14D2,JALISCO,LAGOS DE MORENO,1.26%,0.0063,0.22%,2.49%,0.00%
PVEM,E14D2,JALISCO,LAGOS DE MORENO,9.83%,0.0738,0.00%,24.29%,0.28%
RSP,E14D2,JALISCO,LAGOS DE MORENO,1.23%,0.0238,0.00%,5.89%,0.00%
ES,E14D20,JALISCO,TONALA,1.06%,0.0289,0.00%,6.71%,0.00%
MC,E14D20,JALISCO,TONALA,21.38%,0.0781,8.52%,36.69%,8.59%
PRI,E14D20,JALISCO,TONALA,27.60%,0.0898,12.83%,45.21%,22.06%
PT,E14D20,JALISCO,TONALA,37.60%,0.0711,25.91%,51.53%,69.35%
RSP,E14D20,JALISCO,TONALA,0.99%,0.0188,0.00%,4.66%,0.00%
ES,E14D3,JALISCO,TEPATITLAN DE MORELOS,0.11%,0.0396,0.00%,7.88%,0.00%
MC,E14D3,JALISCO,TEPATITLAN DE MORELOS,12.88%,0.0687,0.00%,26.34%,0.13%
MORENA,E14D3,JALISCO,TEPATITLAN DE MORELOS,15.30%,0.0095,13.73%,17.16%,0.00%
PAN,E14D3,JALISCO,TEPATITLAN DE MORELOS,49.76%,0.1084,31.93%,71.01%,99.84%
PT,E14D3,JALISCO,TEPATITLAN DE MORELOS,1.51%,0.0035,0.94%,2.19%,0.00%
PVEM,E14D3,JALISCO,TEPATITLAN DE MORELOS,8.08%,0.0769,0.00%,23.14%,0.03%
RSP,E14D3,JALISCO,TEPATITLAN DE MORELOS,0.07%,0.0196,0.00%,3.91%,0.00%
ES,E14D4,JALISCO,ZAPOPAN,1.04%,0.0223,0.00%,5.42%,0.00%
MC,E14D4,JALISCO,ZAPOPAN,19.33%,0.0820,5.83%,35.40%,7.40%
PRI,E14D4,JALISCO,ZAPOPAN,32.69%,0.0952,17.04%,51.35%,33.02%
PVEM,E14D4,JALISCO,ZAPOPAN,36.82%,0.0707,25.19%,50.67%,59.58%
RSP,E14D4,JALISCO,ZAPOPAN,0.46%,0.0177,0.00%,3.94%,0.00%
ES,E14D5,JALISCO,PUERTO VALLARTA,1.17%,0.0333,0.00%,7.70%,0.00%
MC,E14D5,JALISCO,PUERTO VALLARTA,19.33%,0.0839,5.53%,35.78%,4.48%
MORENA,E14D5,JALISCO,PUERTO VALLARTA,40.19%,0.0710,28.52%,54.10%,72.26%
PRD,E14D5,JALISCO,PUERTO VALLARTA,29.04%,0.1066,11.51%,49.92%,23.26%
RSP,E14D5,JALISCO,PUERTO VALLARTA,0.25%,0.0128,0.00%,2.76%,0.00%
ES,E14D6,JALISCO,ZAPOPAN,2.33%,0.0266,0.00%,7.54%,0.00%
MC,E14D6,JALISCO,ZAPOPAN,21.82%,0.0931,6.50%,40.07%,10.73%
PAN,E14D6,JALISCO,ZAPOPAN,34.16%,0.1015,17.47%,54.05%,30.65%
PVEM,E14D6,JALISCO,ZAPOPAN,35.24%,0.0620,25.05%,47.38%,58.62%
RSP,E14D6,JALISCO,ZAPOPAN,0.50%,0.0233,0.00%,5.07%,0.00%
ES,E14D7,JALISCO,TONALA,2.16%,0.0315,0.00%,8.33%,0.00%
MC,E14D7,JALISCO,TONALA,20.34%,0.0861,6.18%,37.22%,4.64%
PRI,E14D7,JALISCO,TONALA,27.99%,0.1029,11.07%,48.16%,19.18%
PVEM,E14D7,JALISCO,TONALA,41.68%,0.0736,29.57%,56.11%,76.18%
RSP,E14D7,JALISCO,TONALA,1.25%,0.0238,0.00%,5.92%,0.00%
ES,E14D8,JALISCO,GUADALAJARA,1.06%,0.0320,0.00%,7.32%,0.00%
MC,E14D8,JALISCO,GUADALAJARA,21.88%,0.1163,0.00%,44.68%,12.73%
PAN,E14D8,JALISCO,GUADALAJARA,36.35%,0.1302,14.94%,61.86%,29.42%
PVEM,E14D8,JALISCO,GUADALAJARA,34.24%,0.0660,23.38%,47.18%,57.85%
RSP,E14D8,JALISCO,GUADALAJARA,0.42%,0.0224,0.00%,4.81%,0.00%
ES,E14D9,JALISCO,GUADALAJARA,2.14%,0.0251,0.00%,7.07%,0.00%
MC,E14D9,JALISCO,GUADALAJARA,25.43%,0.1151,6.49%,47.99%,10.39%
PRD,E14D9,JALISCO,GUADALAJARA,30.53%,0.1257,9.85%,55.16%,17.98%
PVEM,E14D9,JALISCO,GUADALAJARA,41.01%,0.0679,29.85%,54.31%,71.63%
RSP,E14D9,JALISCO,GUADALAJARA,1.58%,0.0196,0.00%,5.43%,0.00%
ES,E15D1,MÉXICO,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,2.71%,0.0410,0.00%,10.74%,0.00%
MC,E15D1,MÉXICO,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,5.20%,0.0347,0.00%,12.01%,0.00%
PRI,E15D1,MÉXICO,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,40.69%,0.0845,26.79%,57.26%,46.78%
